Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Ghana,GHA,..,..,17.5,..,..,..,..,17.4,..,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Kenya,KEN,..,28.6,..,..,..,..,..,17.6,..,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Nigeria,NGA,33,43.6,..,36.8,..,31.5,33.8,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ghana,GHA,72.481,70.423,67.881,66.515,64.279,62.026,59.76,58.808,58.238,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kenya,KEN,81.864,73.781,68.182,66.659,63.656,59.38,59.513,57.272,56.313,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Nigeria,NGA,114.881,106.944,100.798,96.601,92.622,89.081,88.457,87.26,86.432,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Ghana,GHA,320000,330000,330000,340000,340000,350000,350000,350000,..,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Kenya,KEN,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,..,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Ghana,GHA,23000,22000,22000,23000,23000,21000,18000,17000,..,..
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Kenya,KEN,42000,37000,34000,29000,28000,28000,26000,22000,..,..
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Ghana,GHA,290000,290000,300000,300000,310000,320000,320000,330000,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Kenya,KEN,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Ghana,GHA,17000,17000,17000,18000,18000,17000,14000,13000,..,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Kenya,KEN,34000,30000,26000,23000,23000,22000,20000,17000,..,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Ghana,GHA,..,..,23.7,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Ghana,GHA,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Ghana,GHA,72.31164507,71.73132577,71.00074085,70.22201277,69.45619261,68.61462281,67.73640843,66.91880695,66.14258126,65.36158573
Age dependency ratio (% of working-age population),SP.POP.DPND,Kenya,KEN,79.99241248,78.63644141,77.16038262,75.73642302,74.26394057,72.6322381,70.95791674,69.30547895,67.67393734,66.1190998
Age dependency ratio (% of working-age population),SP.POP.DPND,Nigeria,NGA,89.72062637,89.06228546,88.12557569,87.05628285,85.87943186,84.52583731,83.10000832,81.68728785,80.24640634,78.77097445
"Age dependency ratio, old",SP.POP.DPND.OL,Ghana,GHA,5.78760034,5.786256413,5.788644142,5.799955374,5.823212194,5.848743719,5.881997028,5.944818101,6.033993326,6.132157511
"Age dependency ratio, old",SP.POP.DPND.OL,Kenya,KEN,4.39751397,4.460121641,4.500528174,4.645862303,4.786844425,4.815098362,4.818628061,4.84877322,4.88485935,4.927371797
"Age dependency ratio, old",SP.POP.DPND.OL,Nigeria,NGA,5.635242121,5.60624841,5.574984525,5.548997096,5.529699389,5.501290195,5.475310593,5.465048627,5.458154967,5.450122898
"Age dependency ratio, young",SP.POP.DPND.YG,Ghana,GHA,66.52404473,65.94506936,65.21209671,64.4220574,63.63298041,62.76587909,61.85441141,60.97398885,60.10858793,59.22942822
"Age dependency ratio, young",SP.POP.DPND.YG,Kenya,KEN,75.59489851,74.17631977,72.65985444,71.09056072,69.47709614,67.81713974,66.13928868,64.45670573,62.78907799,61.191728
"Age dependency ratio, young",SP.POP.DPND.YG,Nigeria,NGA,84.08538425,83.45603705,82.55059117,81.50728576,80.34973247,79.02454712,77.62469773,76.22223923,74.78825137,73.32085156
"Age population, age 00, female",SP.POP.AG00.FE.IN,Ghana,GHA,423089,423750,418150,414528,415730.5,417311,419370,421241,423841,426615
"Age population, age 00, female",SP.POP.AG00.FE.IN,Kenya,KEN,698150.5,699423,700350,700452.5,698161.5,698090,704415,712737,721002,730706.5
"Age population, age 00, female",SP.POP.AG00.FE.IN,Nigeria,NGA,3442757,3435527,3418747.5,3404467,3387697.5,3368591.5,3386811,3433873.5,3479245,3517819
"Age population, age 00, male",SP.POP.AG00.MA.IN,Ghana,GHA,435775,436653,431103,427519.5,428780,430430.5,432631,434708,437528,440411.5
"Age population, age 00, male",SP.POP.AG00.MA.IN,Kenya,KEN,708806.5,710099,711095,711273.5,709006,708878.5,715019,723441.5,731997.5,741725.5
"Age population, age 00, male",SP.POP.AG00.MA.IN,Nigeria,NGA,3544264,3539910,3525065.5,3510494,3492294,3472405,3491086.5,3539471.5,3586080,3625906.5
"Age population, age 01, female",SP.POP.AG01.FE.IN,Ghana,GHA,416891,420012.5,420879,415392.5,411893,413295,415025.5,417154.5,419131,421771.5
"Age population, age 01, female",SP.POP.AG01.FE.IN,Kenya,KEN,690762.5,690648,692480,692307.5,692650,691798.5,691859,698513,707643,716037.5
