Country Name,Country Code,Series Name,Series Code,2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040]
Ghana,GHA,Age dependency ratio (% of working-age population),SP.POP.DPND,64.52069175,63.68647338,62.87910489,62.05699654,61.26182708,60.49711327,59.79358448,59.23693604,58.80693636,58.44631959,58.1262285,57.80280391,57.49998053,57.24496153,57.02387787,56.82427427
Ghana,GHA,"Age dependency ratio, old",SP.POP.DPND.OL,6.231543529,6.377431988,6.569165884,6.760927474,6.948795094,7.128852654,7.304290317,7.485131007,7.678128388,7.88431994,8.088476803,8.266169884,8.437782763,8.62845292,8.829074013,9.031741219
Ghana,GHA,"Age dependency ratio, young",SP.POP.DPND.YG,58.28914822,57.30904139,56.309939,55.29606906,54.31303199,53.36826061,52.48929416,51.75180503,51.12880798,50.56199965,50.03775169,49.53663403,49.06219777,48.61650861,48.19480386,47.79253305
Ghana,GHA,"Age population, age 00, female",SP.POP.AG00.FE.IN,428907.5,431785.5,434720.5,437960,441332,444645.5,448088.5,451572,455460.5,459347.5,462808,466024,468764,471240.5,473674.5,475709
Ghana,GHA,"Age population, age 00, male",SP.POP.AG00.MA.IN,442747.5,445653,448625,451951,455418,458799,462317,465906,469904.5,473854.5,477360,480623.5,483379.5,485897,488384,490443.5
Ghana,GHA,"Age population, age 01, female",SP.POP.AG01.FE.IN,424539.5,426821,429695.5,432654.5,435901.5,439311,442666.5,446137.5,449671,453583,457459,460917.5,464180,466952,469430,471904
Ghana,GHA,"Age population, age 01, male",SP.POP.AG01.MA.IN,437617.5,439927,442814.5,445799,449120.5,452612.5,456023.5,459558.5,463186.5,467195,471119.5,474610,477912,480695,483206.5,485726.5
Ghana,GHA,"Age population, age 02, female",SP.POP.AG02.FE.IN,420711.5,423432.5,425679,428542.5,431479,434734,438155,441511,445004,448537.5,452414,456258.5,459731.5,462997.5,465746.5,468238.5
Ghana,GHA,"Age population, age 02, male",SP.POP.AG02.MA.IN,433463,436271.5,438535,441402,444354,447674,451168,454571,458119.5,461737,465697.5,469578.5,473075.5,476372.5,479122.5,481640
Ghana,GHA,"Age population, age 03, female",SP.POP.AG03.FE.IN,417006,419566,422260.5,424504.5,427353.5,430303.5,433574,437000.5,440382,443879,447385,451237,455098,458578.5,461827,464592
Ghana,GHA,"Age population, age 03, male",SP.POP.AG03.MA.IN,429268,432040,434811.5,437064,439907.5,442864,446191,449682.5,453103,456646,460225,464150,468040,471536,474806,477565
Ghana,GHA,"Age population, age 04, female",SP.POP.AG04.FE.IN,413910.5,415828,418369.5,421066.5,423304,426170,429139.5,432420,435873.5,439263,442739,446226.5,450097.5,453968,457434.5,460699.5
Ghana,GHA,"Age population, age 04, male",SP.POP.AG04.MA.IN,425637,427774,430517.5,433283.5,435521.5,438374.5,441343.5,444673,448184.5,451605,455117,458667.5,462604,466496,469970.5,473250.5
Ghana,GHA,"Age population, age 05, female",SP.POP.AG05.FE.IN,410573.5,412722.5,414628.5,417176.5,419870.5,422128.5,425016.5,427999,431308,434772,438145,441607,445115,448996.5,452856.5,456341
Ghana,GHA,"Age population, age 05, male",SP.POP.AG05.MA.IN,421781.5,424097.5,426215.5,428958.5,431714,433967,436836,439812.5,443165,446679.5,450074.5,453564,457129.5,461070.5,464944,468430
Ghana,GHA,"Age population, age 06, female",SP.POP.AG06.FE.IN,407616.5,409412,411553,413469.5,416018,418732,421014,423917,426928.5,430249,433699.5,437061.5,440543.5,444063.5,447937,451813.5
Ghana,GHA,"Age population, age 06, male",SP.POP.AG06.MA.IN,418344,420247.5,422549,424672,427409.5,430180.5,432453,435332,438333,441691,445184,448561,452066.5,455638.5,459564.5,463449.5
Ghana,GHA,"Age population, age 07, female",SP.POP.AG07.FE.IN,404963,406528.5,408318,410469,412388.5,414957,417693,419990.5,422920.5,425944,429253,432693.5,436074.5,439567.5,443080.5,446969.5
Ghana,GHA,"Age population, age 07, male",SP.POP.AG07.MA.IN,415208.5,416879.5,418772.5,421080,423201.5,425954.5,428743.5,431028.5,433931.5,436940,440280,443757.5,447150.5,450663,454223,458160.5
Ghana,GHA,"Age population, age 08, female",SP.POP.AG08.FE.IN,407113.5,403983.5,405544,407343.5,409496,411434.5,414023,416772,419095.5,422036.5,425049,428348,431805,435195.5,438682,442209.5
Ghana,GHA,"Age population, age 08, male",SP.POP.AG08.MA.IN,416866.5,413869,415531.5,417431,419737,421875,424645,427444.5,429753.5,432664,435657.5,438983,442474,445874,449376,452947.5
Ghana,GHA,"Age population, age 09, female",SP.POP.AG09.FE.IN,411317.5,406250,403123,404691.5,406491.5,408660.5,410617.5,413217,415988,418321,421250.5,424252.5,427566,431031,434414,437912.5
Ghana,GHA,"Age population, age 09, male",SP.POP.AG09.MA.IN,420556.5,415670,412675.5,414344.5,416243.5,418563.5,420718,423497,426317,428634,431529.5,434509,437847,441344,444733.5,448245
