Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.120759338,3.37346575,8.128894881,6.200077681,6.507774794,0.513941671,5.076466435,3.80484981,3.140090998,5.684872604
Ghana,GHA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,27.70964117,25.45565545,19.56551996,21.709335,18.64727562,18.22366699,17.03667792,15.79984305,9.899861078,9.956555466
Ghana,GHA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.585975796,2.298139744,4.427172319,8.305354209,1.143254011,0.0,0.726084594,1.957407169,2.110037622,0.0
Ghana,GHA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,121.997,130.481,122.472,133.61,130.705,126.887,124.403,120.803,98.8059,0.0
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.967721128,4.213517068,3.837958174,5.647946407,5.114158858,-0.272766327,7.590489473,4.859981043,5.555873013,4.496498285
Kenya,KEN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,22.1033982,19.34843583,20.6634949,19.37598625,19.34183242,19.65158417,20.39124478,19.05406385,16.35689147,16.78507025
Kenya,KEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,4.366095189,7.586234356,3.348590418,3.612962751,4.593277692,5.111782611,3.127360614,2.26073811,3.041694167,0.0
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,80.0958,80.9772,87.0265,98.5945,106.548,117.603,122.298,121.169,120.612,0.0
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.652693295,-1.616868949,0.805886619,1.922757342,2.208429277,-1.794253083,3.647186541,3.251681408,2.860214991,3.426439471
Nigeria,NGA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,NGA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,11.90587563,2.35102616,2.330351819,1.928778265,1.482401174,6.944123096,6.487965049,2.384883029,3.530423703,0.0
Nigeria,NGA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,79.1045,78.9701,72.368,84.284,88.1169,95.4357,89.2916,99.5852,98.4773,0.0
Nigeria,NGA,Urban population growth (annual %),SP.URB.GROW,4.341748348,4.222790935,4.134364003,3.964473973,3.796390324,3.683934182,3.601410454,3.551433014,3.512089398,3.449716856
